project,genome,file_accession,type,output_type,replicates,pipe
ENCSR015LYB,GRCh38,ENCFF642BLI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR015LYB,GRCh38,ENCFF037AXF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR015LYB,GRCh38,ENCFF653ZSX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR656SIB,GRCh38,ENCFF195YPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR656SIB,GRCh38,ENCFF630JEV,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR656SIB,GRCh38,ENCFF796WUY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR656SIB,GRCh38,ENCFF160DNR,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR617POJ,GRCh38,ENCFF795AW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR617POJ,GRCh38,ENCFF302TQZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR617POJ,GRCh38,ENCFF655DEQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR748SQL,GRCh38,ENCFF157HQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR748SQL,GRCh38,ENCFF741RPT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR748SQL,GRCh38,ENCFF110ZIH,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR125YGM,GRCh38,ENCFF794SCQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR125YGM,GRCh38,ENCFF219IJM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR125YGM,GRCh38,ENCFF194GEN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR350GZC,GRCh38,ENCFF962LSN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR350GZC,GRCh38,ENCFF688WTQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR350GZC,GRCh38,ENCFF137DGG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR800JRG,GRCh38,ENCFF355HRT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR800JRG,GRCh38,ENCFF371SFB,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR800JRG,GRCh38,ENCFF736UCC,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR911MML,GRCh38,ENCFF902EKZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR911MML,GRCh38,ENCFF850DUU,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR911MML,GRCh38,ENCFF504HNE,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR643JRH,GRCh38,ENCFF534DDA,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR643JRH,GRCh38,ENCFF962GWS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR643JRH,GRCh38,ENCFF585SE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR972CVS,GRCh38,ENCFF198NGY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR972CVS,GRCh38,ENCFF552FRK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR972CVS,GRCh38,ENCFF064LME,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR192PBJ,GRCh38,ENCFF329CUQ,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR192PBJ,GRCh38,ENCFF971BAQ,bed narrowPeak,IDR thresholded peaks,3,ENCODE4
ENCSR192PBJ,GRCh38,ENCFF974FYU,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR192PBJ,GRCh38,ENCFF832ZYX,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR192PBJ,GRCh38,ENCFF755QMA,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR192PBJ,GRCh38,ENCFF696DFP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR492FKD,GRCh38,ENCFF738IQL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR492FKD,GRCh38,ENCFF793UCM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR492FKD,GRCh38,ENCFF859MF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR415NNQ,GRCh38,ENCFF206LMB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR415NNQ,GRCh38,ENCFF951DQX,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR415NNQ,GRCh38,ENCFF029XDE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR126YJQ,GRCh38,ENCFF156CMT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR126YJQ,GRCh38,ENCFF693JWE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR126YJQ,GRCh38,ENCFF840BHF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR226NRS,GRCh38,ENCFF035QJG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR226NRS,GRCh38,ENCFF236JA,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR226NRS,GRCh38,ENCFF312MHX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR783EPA,GRCh38,ENCFF927NEU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR783EPA,GRCh38,ENCFF583LLR,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR783EPA,GRCh38,ENCFF806EBI,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR998OMC,GRCh38,ENCFF392MAR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR998OMC,GRCh38,ENCFF631KTG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR998OMC,GRCh38,ENCFF022SLQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR044UJJ,GRCh38,ENCFF250MUC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR044UJJ,GRCh38,ENCFF743YVY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR044UJJ,GRCh38,ENCFF639COT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR231ZVN,GRCh38,ENCFF377MBE,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR231ZVN,GRCh38,ENCFF760YFT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR231ZVN,GRCh38,ENCFF406TZR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR321VGW,GRCh38,ENCFF215GPK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR321VGW,GRCh38,ENCFF367XUK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR321VGW,GRCh38,ENCFF184HFG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR579YNY,GRCh38,ENCFF132DPY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR579YNY,GRCh38,ENCFF230LDT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR579YNY,GRCh38,ENCFF431ORE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR444BFV,GRCh38,ENCFF795EGN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR444BFV,GRCh38,ENCFF222VQU,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR444BFV,GRCh38,ENCFF539RUV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR659YWQ,GRCh38,ENCFF443BGE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR659YWQ,GRCh38,ENCFF166BXM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR659YWQ,GRCh38,ENCFF477LAL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR268XPQ,GRCh38,ENCFF651OAU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR268XPQ,GRCh38,ENCFF216ARN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR268XPQ,GRCh38,ENCFF022DQZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR516SMM,GRCh38,ENCFF316WFA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR516SMM,GRCh38,ENCFF866KYP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR516SMM,GRCh38,ENCFF557YQQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR335SUD,GRCh38,ENCFF318ZUN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR335SUD,GRCh38,ENCFF151DS,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR335SUD,GRCh38,ENCFF020NLJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR303SHG,GRCh38,ENCFF854SNX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR303SHG,GRCh38,ENCFF008JVY,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR303SHG,GRCh38,ENCFF112HAV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR398TMP,GRCh38,ENCFF048GX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR398TMP,GRCh38,ENCFF569ROJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR398TMP,GRCh38,ENCFF266LGW,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR663NFC,GRCh38,ENCFF122FTW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR663NFC,GRCh38,ENCFF944SVK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR663NFC,GRCh38,ENCFF691FER,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR479RZV,GRCh38,ENCFF951CCL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR479RZV,GRCh38,ENCFF335NKN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR479RZV,GRCh38,ENCFF692FKJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR023KKB,GRCh38,ENCFF213KS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR023KKB,GRCh38,ENCFF431EAM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR023KKB,GRCh38,ENCFF672XN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR004HEA,GRCh38,ENCFF479SAF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR004HEA,GRCh38,ENCFF661XFG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR004HEA,GRCh38,ENCFF371GHL,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR413CVQ,GRCh38,ENCFF717YTN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR413CVQ,GRCh38,ENCFF973DIQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR413CVQ,GRCh38,ENCFF477SGG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR526HRN,GRCh38,ENCFF882XTP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR526HRN,GRCh38,ENCFF239VUQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR526HRN,GRCh38,ENCFF434QWU,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR488ZNK,GRCh38,ENCFF496HIK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR488ZNK,GRCh38,ENCFF856RVZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR488ZNK,GRCh38,ENCFF238DGF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR807VQT,GRCh38,ENCFF092WKT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR807VQT,GRCh38,ENCFF822FRR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR807VQT,GRCh38,ENCFF939JRH,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR578KEN,GRCh38,ENCFF289ZIR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR578KEN,GRCh38,ENCFF328SWP,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR578KEN,GRCh38,ENCFF938PAP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR717QWW,GRCh38,ENCFF696UQR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR717QWW,GRCh38,ENCFF496WS,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR717QWW,GRCh38,ENCFF542YEL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR017EJY,GRCh38,ENCFF832DBU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR017EJY,GRCh38,ENCFF796HTP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR017EJY,GRCh38,ENCFF054EKQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR700USV,GRCh38,ENCFF025VUR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR700USV,GRCh38,ENCFF962I,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR700USV,GRCh38,ENCFF093FNN,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR551QJT,GRCh38,ENCFF737MXG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR551QJT,GRCh38,ENCFF460IRC,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR551QJT,GRCh38,ENCFF460AMR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR403MJY,GRCh38,ENCFF964FPZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR403MJY,GRCh38,ENCFF424FHQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR403MJY,GRCh38,ENCFF514FQR,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR355HLV,GRCh38,ENCFF562UOF,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR355HLV,GRCh38,ENCFF917KNB,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR355HLV,GRCh38,ENCFF687BTT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR355HLV,GRCh38,ENCFF565DBH,bed narrowPeak,IDR thresholded peaks,3,ENCODE4
ENCSR355HLV,GRCh38,ENCFF045GLG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR355HLV,GRCh38,ENCFF684IEE,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4
ENCSR421DAO,GRCh38,ENCFF260XMT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR421DAO,GRCh38,ENCFF307HPZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR421DAO,GRCh38,ENCFF260GFE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR416HDG,GRCh38,ENCFF328SRN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR416HDG,GRCh38,ENCFF715UBX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR416HDG,GRCh38,ENCFF387CHT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR701WPG,GRCh38,ENCFF618NTX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR701WPG,GRCh38,ENCFF561UJG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR701WPG,GRCh38,ENCFF462CN,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR027BEE,GRCh38,ENCFF371MS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR027BEE,GRCh38,ENCFF600OLQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR027BEE,GRCh38,ENCFF793EPM,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR325QLX,GRCh38,ENCFF214ZEK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR325QLX,GRCh38,ENCFF410AE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR325QLX,GRCh38,ENCFF840ZHQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR376XAV,GRCh38,ENCFF975EAX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR376XAV,GRCh38,ENCFF371VZE,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR376XAV,GRCh38,ENCFF479,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR658UQD,GRCh38,ENCFF594JNI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR658UQD,GRCh38,ENCFF721ETY,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR658UQD,GRCh38,ENCFF792DII,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR580HOI,GRCh38,ENCFF089XCL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR580HOI,GRCh38,ENCFF500NP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR580HOI,GRCh38,ENCFF011QXW,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR469FBY,GRCh38,ENCFF704BP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR469FBY,GRCh38,ENCFF092LCS,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR469FBY,GRCh38,ENCFF200LJV,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR849TMV,GRCh38,ENCFF643LFY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR849TMV,GRCh38,ENCFF100GLH,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR849TMV,GRCh38,ENCFF240YLH,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR590FLL,GRCh38,ENCFF843NBV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR590FLL,GRCh38,ENCFF824SDK,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR590FLL,GRCh38,ENCFF777SGK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR903MVU,GRCh38,ENCFF147KVT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR903MVU,GRCh38,ENCFF618NGB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR903MVU,GRCh38,ENCFF089XUG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR288ZFV,GRCh38,ENCFF266GBP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR288ZFV,GRCh38,ENCFF901GEZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR288ZFV,GRCh38,ENCFF026GWX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR949OEV,GRCh38,ENCFF291LHW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR949OEV,GRCh38,ENCFF479GOC,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR949OEV,GRCh38,ENCFF832MJA,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR591ASD,GRCh38,ENCFF692HU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR591ASD,GRCh38,ENCFF544PRF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR591ASD,GRCh38,ENCFF553AU,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR110JLQ,GRCh38,ENCFF165JQS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR110JLQ,GRCh38,ENCFF985EQJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR110JLQ,GRCh38,ENCFF025OFV,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR000ATU,GRCh38,ENCFF258XBJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR956OSX,GRCh38,ENCFF919ZSN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR956OSX,GRCh38,ENCFF034XCJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR956OSX,GRCh38,ENCFF338CHT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR119FAD,GRCh38,ENCFF030AXK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR119FAD,GRCh38,ENCFF439QOJ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR119FAD,GRCh38,ENCFF624SVT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR935GZV,GRCh38,ENCFF257CC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR935GZV,GRCh38,ENCFF190RON,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR935GZV,GRCh38,ENCFF916IJZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR248BVU,GRCh38,ENCFF404IUH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR248BVU,GRCh38,ENCFF954TTY,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR248BVU,GRCh38,ENCFF643DQZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR959BQO,GRCh38,ENCFF208OME,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR959BQO,GRCh38,ENCFF381BI,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR959BQO,GRCh38,ENCFF539FVY,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR845GGY,GRCh38,ENCFF295XBK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR845GGY,GRCh38,ENCFF309YDF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR845GGY,GRCh38,ENCFF462QAF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR967ZMR,GRCh38,ENCFF641ZFM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR967ZMR,GRCh38,ENCFF178DNG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR967ZMR,GRCh38,ENCFF586BME,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR361UTL,GRCh38,ENCFF227LKX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR361UTL,GRCh38,ENCFF434EMV,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR361UTL,GRCh38,ENCFF008NCW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR934WOF,GRCh38,ENCFF464BVI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR934WOF,GRCh38,ENCFF662CAG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR934WOF,GRCh38,ENCFF391FQI,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR567NTZ,GRCh38,ENCFF415MKA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR567NTZ,GRCh38,ENCFF044QVF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR567NTZ,GRCh38,ENCFF997HMK,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR696URR,GRCh38,ENCFF817EJA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR696URR,GRCh38,ENCFF913EBZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR696URR,GRCh38,ENCFF118AVG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR124XCX,GRCh38,ENCFF227RXB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR124XCX,GRCh38,ENCFF140HYL,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR124XCX,GRCh38,ENCFF554EXX,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR929KSH,GRCh38,ENCFF632PBR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR929KSH,GRCh38,ENCFF378XEP,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR929KSH,GRCh38,ENCFF231XFR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR647PJW,GRCh38,ENCFF652ZEN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR647PJW,GRCh38,ENCFF923EYZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR647PJW,GRCh38,ENCFF073RTN,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR634GEO,GRCh38,ENCFF780JMA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR634GEO,GRCh38,ENCFF537OUQ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR634GEO,GRCh38,ENCFF363ATL,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR110QIL,GRCh38,ENCFF989FMK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR110QIL,GRCh38,ENCFF675YRX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR110QIL,GRCh38,ENCFF530NZR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR421QXA,GRCh38,ENCFF388XSN,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR421QXA,GRCh38,ENCFF891HTS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR421QXA,GRCh38,ENCFF187BJN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR421QXA,GRCh38,ENCFF433LWT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR068QXO,GRCh38,ENCFF934NEX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR068QXO,GRCh38,ENCFF909EJM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR068QXO,GRCh38,ENCFF394WN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR507RVF,GRCh38,ENCFF172KCZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR507RVF,GRCh38,ENCFF995ICR,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR507RVF,GRCh38,ENCFF656QBR,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR598TIR,GRCh38,ENCFF143RAT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR598TIR,GRCh38,ENCFF275GLL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR598TIR,GRCh38,ENCFF239WDX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
