project,genome,file_accession,type,output_type,replicates,pipe
ENCSR584DEL,GRCh38,ENCFF063CFT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR603BJQ,GRCh38,ENCFF605GXY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR603BJQ,GRCh38,ENCFF131AAM,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR603BJQ,GRCh38,ENCFF299LMF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR127XTZ,GRCh38,ENCFF022QCK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR127XTZ,GRCh38,ENCFF137LMF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR127XTZ,GRCh38,ENCFF782WUM,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR704IGU,GRCh38,ENCFF339GYF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR704IGU,GRCh38,ENCFF409HCI,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR704IGU,GRCh38,ENCFF734BNE,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR704IGU,GRCh38,ENCFF085KWU,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR142IGM,GRCh38,ENCFF260FY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR142IGM,GRCh38,ENCFF087QHE,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR142IGM,GRCh38,ENCFF211FZZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR142IGM,GRCh38,ENCFF874PI,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR396XDF,GRCh38,ENCFF148RPN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR396XDF,GRCh38,ENCFF712UUS,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR396XDF,GRCh38,ENCFF553QTH,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR023OOE,GRCh38,ENCFF049MDN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR023OOE,GRCh38,ENCFF598QUP,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR023OOE,GRCh38,ENCFF180MLQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR772EEN,GRCh38,ENCFF936WES,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR772EEN,GRCh38,ENCFF931FYN,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR772EEN,GRCh38,ENCFF746FVF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR772EEN,GRCh38,ENCFF931SVP,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR044IXA,GRCh38,ENCFF712NHB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR044IXA,GRCh38,ENCFF773RJT,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR044IXA,GRCh38,ENCFF611VBH,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR505LJT,GRCh38,ENCFF743AUT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR505LJT,GRCh38,ENCFF704HPH,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR505LJT,GRCh38,ENCFF976HAJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR232LLP,GRCh38,ENCFF163LGN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR232LLP,GRCh38,ENCFF259PNC,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR232LLP,GRCh38,ENCFF850ZCB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR168DYA,GRCh38,ENCFF254ZDA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR168DYA,GRCh38,ENCFF911YC,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR168DYA,GRCh38,ENCFF624WLL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR855XFL,GRCh38,ENCFF767ZRB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR855XFL,GRCh38,ENCFF742EDV,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR855XFL,GRCh38,ENCFF551TEB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR436RQS,GRCh38,ENCFF535BYF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR436RQS,GRCh38,ENCFF340KQF,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR436RQS,GRCh38,ENCFF229PFB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR253HUM,GRCh38,ENCFF115ENN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR253HUM,GRCh38,ENCFF340OF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR253HUM,GRCh38,ENCFF409TEZ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR196FSX,GRCh38,ENCFF408CTC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR196FSX,GRCh38,ENCFF269CTJ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR196FSX,GRCh38,ENCFF395MPH,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR547LKC,GRCh38,ENCFF388KGW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR547LKC,GRCh38,ENCFF005GKA,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR547LKC,GRCh38,ENCFF538FPT,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR547LKC,GRCh38,ENCFF569CMJ,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR648INT,GRCh38,ENCFF143MEF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR648INT,GRCh38,ENCFF206ZTW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR648INT,GRCh38,ENCFF166QOS,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR648INT,GRCh38,ENCFF406XWT,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR562POI,GRCh38,ENCFF889SYG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR562POI,GRCh38,ENCFF005WVW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR562POI,GRCh38,ENCFF441WNJ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR562POI,GRCh38,ENCFF054TEP,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR325DER,GRCh38,ENCFF961ADR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
